GENESIS-Tabelle: 43311-0001
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;
Brennstoffeinsatz: Deutschland, Jahre, Energieträger;;;
Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;;;
Deutschland;;;
;;Elektrizitätserzeugung (brutto);Elektrizitätserzeugung (netto)
;;MWh;MWh
2002;Steinkohlen;121062371;111426568
2002;Steinkohlenkoks;-;-
2002;Steinkohlenbriketts;-;-
2002;Kohlenwertstoffe aus Steinkohle;-;-
2002;Sonstige Steinkohlen;-;-
2002;Rohbraunkohlen;152152294;140544280
2002;Hartbraunkohlen;2078121;1894333
2002;Braunkohlenbriketts;48263;41935
2002;Braunkohlenkoks;-;-
2002;Wirbelschichtkohle;-;-
2002;Staub- und Trockenkohle;493976;441932
2002;Sonstige Braunkohlen;119617;110305
2002;Dieselkraftstoff;6749;6382
2002;Heizöl, leicht;564538;514135
2002;Heizöl, schwer;664701;610148
2002;Flüssiggas;169;159
2002;Raffineriegas;-;-
2002;Petrolkoks;234518;212180
2002;Sonstige Mineralölprodukte;682857;624212
2002;Erdgas, Erdölgas;41728765;39982951
2002;Grubengas;239484;215765
2002;Kokereigas;50066;44985
2002;Hochofengas;3300300;3102993
2002;Sonstige hergestellte Gase;265669;244012
2002;Wasserstoff;-;-
2002;Laufwasser;18216292;17987250
2002;Speicherwasser;2108426;2060395
2002;Pumpspeicherwasser;4016297;3933612
2002;Pumpspeicher mit natürlichem Zufluss;-;-
2002;Pumpspeicher ohne natürlichen Zufluss;-;-
2002;Windkraft;163940;156819
2002;Photovoltaik;1877;1802
2002;Geothermie;-;-
2002;Wärmepumpen (Erd- und Umweltwärme);-;-
2002;Solarthermie;-;-
2002;Feste biogene Stoffe;219686;201648
2002;Flüssige biogene Stoffe;-;-
2002;Biogas;32393;30548
2002;Biomethan (Bioerdgas);-;-
2002;Klärgas;11981;11837
2002;Deponiegas;115408;110551
2002;Sonstige erneuerbare Energien;265526;243469
2002;Klärschlamm;57445;51438
2002;Abfall (Hausmüll, Industrie);3897805;2926819
2002;Abfall (Industrie);-;-
2002;Abfall (Hausmüll, Siedlungsabfälle);-;-
2002;Kernenergie;164841973;156287022
2002;Wärme;-;-
2002;Strom (Elektrokessel);-;-
2002;Sonstige Energieträger;27282;23853
2002;Andere Speicher;-;-
2002;Insgesamt;517668789;484044338
2003;Steinkohlen;132069578;121830623
2003;Steinkohlenkoks;-;-
2003;Steinkohlenbriketts;-;-
2003;Kohlenwertstoffe aus Steinkohle;-;-
2003;Sonstige Steinkohlen;-;-
2003;Rohbraunkohlen;153603201;141725570
2003;Hartbraunkohlen;597060;531787
2003;Braunkohlenbriketts;21585;19617
2003;Braunkohlenkoks;13342;11747
2003;Wirbelschichtkohle;-;-
2003;Staub- und Trockenkohle;517742;467836
2003;Sonstige Braunkohlen;452593;393064
2003;Dieselkraftstoff;7232;7064
2003;Heizöl, leicht;658408;602491
2003;Heizöl, schwer;640899;588592
2003;Flüssiggas;4;4
2003;Raffineriegas;-;-
2003;Petrolkoks;717060;655202
2003;Sonstige Mineralölprodukte;914299;837130
2003;Erdgas, Erdölgas;46763519;44973718
2003;Grubengas;314029;286779
2003;Kokereigas;54266;48905
2003;Hochofengas;3726431;3516542
2003;Sonstige hergestellte Gase;275671;253348
2003;Wasserstoff;-;-
2003;Laufwasser;14010918;13807008
2003;Speicherwasser;1484937;1456185
2003;Pumpspeicherwasser;5175917;5098549
2003;Pumpspeicher mit natürlichem Zufluss;-;-
2003;Pumpspeicher ohne natürlichen Zufluss;-;-
2003;Windkraft;173253;167254
2003;Photovoltaik;2916;2790
2003;Geothermie;-;-
2003;Wärmepumpen (Erd- und Umweltwärme);-;-
2003;Solarthermie;-;-
2003;Feste biogene Stoffe;276398;255228
2003;Flüssige biogene Stoffe;-;-
2003;Biogas;17556;16499
2003;Biomethan (Bioerdgas);-;-
2003;Klärgas;18207;17599
2003;Deponiegas;126330;118179
2003;Sonstige erneuerbare Energien;161041;146693
2003;Klärschlamm;97957;87890
2003;Abfall (Hausmüll, Industrie);4321204;3182945
2003;Abfall (Industrie);-;-
2003;Abfall (Hausmüll, Siedlungsabfälle);-;-
2003;Kernenergie;165059921;156455840
2003;Wärme;-;-
2003;Strom (Elektrokessel);-;-
2003;Sonstige Energieträger;648209;586926
2003;Andere Speicher;-;-
2003;Insgesamt;532921681;498149606
2004;Steinkohlen;126565314;116640379
2004;Steinkohlenkoks;-;-
2004;Steinkohlenbriketts;-;-
2004;Kohlenwertstoffe aus Steinkohle;-;-
2004;Sonstige Steinkohlen;-;-
2004;Rohbraunkohlen;154007907;142136151
2004;Hartbraunkohlen;1264;1176
2004;Braunkohlenbriketts;32241;27374
2004;Braunkohlenkoks;-;-
2004;Wirbelschichtkohle;-;-
2004;Staub- und Trockenkohle;476618;428204
2004;Sonstige Braunkohlen;502297;436979
2004;Dieselkraftstoff;7540;7320
2004;Heizöl, leicht;524520;481346
2004;Heizöl, schwer;468929;430681
2004;Flüssiggas;497;482
2004;Raffineriegas;-;-
2004;Petrolkoks;1571373;1460389
2004;Sonstige Mineralölprodukte;1041871;954418
2004;Erdgas, Erdölgas;46545713;44881966
2004;Grubengas;341322;313046
2004;Kokereigas;46373;41983
2004;Hochofengas;3641624;3431558
2004;Sonstige hergestellte Gase;268884;247225
2004;Wasserstoff;-;-
2004;Laufwasser;15704242;15495952
2004;Speicherwasser;1689918;1661449
2004;Pumpspeicherwasser;6364152;6273414
2004;Pumpspeicher mit natürlichem Zufluss;-;-
2004;Pumpspeicher ohne natürlichen Zufluss;-;-
2004;Windkraft;294619;287560
2004;Photovoltaik;3111;3033
2004;Geothermie;-;-
2004;Wärmepumpen (Erd- und Umweltwärme);-;-
2004;Solarthermie;-;-
2004;Feste biogene Stoffe;740095;675775
2004;Flüssige biogene Stoffe;-;-
2004;Biogas;19896;18696
2004;Biomethan (Bioerdgas);-;-
2004;Klärgas;20956;20146
2004;Deponiegas;184202;180303
2004;Sonstige erneuerbare Energien;210216;193419
2004;Klärschlamm;158573;137523
2004;Abfall (Hausmüll, Industrie);4232557;3094260
2004;Abfall (Industrie);-;-
2004;Abfall (Hausmüll, Siedlungsabfälle);-;-
2004;Kernenergie;167064610;158378455
2004;Wärme;-;-
2004;Strom (Elektrokessel);-;-
2004;Sonstige Energieträger;541723;476302
2004;Andere Speicher;-;-
2004;Insgesamt;533273156;498816963
2005;Steinkohlen;122759695;112973019
2005;Steinkohlenkoks;-;-
2005;Steinkohlenbriketts;-;-
2005;Kohlenwertstoffe aus Steinkohle;-;-
2005;Sonstige Steinkohlen;-;-
2005;Rohbraunkohlen;150127463;138205072
2005;Hartbraunkohlen;-;-
2005;Braunkohlenbriketts;49040;42768
2005;Braunkohlenkoks;-;-
2005;Wirbelschichtkohle;304690;250766
2005;Staub- und Trockenkohle;545007;493265
2005;Sonstige Braunkohlen;196752;186717
2005;Dieselkraftstoff;10010;9631
2005;Heizöl, leicht;839104;780815
2005;Heizöl, schwer;533804;492848
2005;Flüssiggas;1488;1409
2005;Raffineriegas;-;-
2005;Petrolkoks;2079635;1912373
2005;Sonstige Mineralölprodukte;1206490;1118141
2005;Erdgas, Erdölgas;54148538;52310469
2005;Grubengas;412950;377588
2005;Kokereigas;47386;42711
2005;Hochofengas;2922480;2743325
2005;Sonstige hergestellte Gase;275682;253826
2005;Wasserstoff;-;-
2005;Laufwasser;15283518;15019200
2005;Speicherwasser;636645;622529
2005;Pumpspeicherwasser;7429476;7308298
2005;Pumpspeicher mit natürlichem Zufluss;-;-
2005;Pumpspeicher ohne natürlichen Zufluss;-;-
2005;Windkraft;312331;308214
2005;Photovoltaik;4852;4758
2005;Geothermie;-;-
2005;Wärmepumpen (Erd- und Umweltwärme);-;-
2005;Solarthermie;-;-
2005;Feste biogene Stoffe;1633904;1542490
2005;Flüssige biogene Stoffe;18940;17864
2005;Biogas;18531;17191
2005;Biomethan (Bioerdgas);-;-
2005;Klärgas;21770;20986
2005;Deponiegas;207231;201636
2005;Sonstige erneuerbare Energien;544476;501970
2005;Klärschlamm;171350;155546
2005;Abfall (Hausmüll, Industrie);6074878;4524206
2005;Abfall (Industrie);-;-
2005;Abfall (Hausmüll, Siedlungsabfälle);-;-
2005;Kernenergie;163054688;154612294
2005;Wärme;-;-
2005;Strom (Elektrokessel);-;-
2005;Sonstige Energieträger;512764;461587
2005;Andere Speicher;-;-
2005;Insgesamt;532385569;497513512
2006;Steinkohlen;126259053;116470179
2006;Steinkohlenkoks;-;-
2006;Steinkohlenbriketts;-;-
2006;Kohlenwertstoffe aus Steinkohle;-;-
2006;Sonstige Steinkohlen;-;-
2006;Rohbraunkohlen;147047110;135087260
2006;Hartbraunkohlen;65284;54358
2006;Braunkohlenbriketts;43568;37399
2006;Braunkohlenkoks;2571;1875
2006;Wirbelschichtkohle;353068;287805
2006;Staub- und Trockenkohle;400481;347581
2006;Sonstige Braunkohlen;157652;148615
2006;Dieselkraftstoff;9601;9156
2006;Heizöl, leicht;647097;588317
2006;Heizöl, schwer;702999;648098
2006;Flüssiggas;-;-
2006;Raffineriegas;-;-
2006;Petrolkoks;1344827;1247656
2006;Sonstige Mineralölprodukte;916993;840672
2006;Erdgas, Erdölgas;56826926;54957743
2006;Grubengas;525560;488123
2006;Kokereigas;31311;28802
2006;Hochofengas;2845856;2661588
2006;Sonstige hergestellte Gase;233565;216877
2006;Wasserstoff;-;-
2006;Laufwasser;15586139;15295979
2006;Speicherwasser;616554;607389
2006;Pumpspeicherwasser;7372997;7244619
2006;Pumpspeicher mit natürlichem Zufluss;-;-
2006;Pumpspeicher ohne natürlichen Zufluss;-;-
2006;Windkraft;34157;340178
2006;Photovoltaik;5234;5188
2006;Geothermie;-;-
2006;Wärmepumpen (Erd- und Umweltwärme);-;-
2006;Solarthermie;-;-
2006;Feste biogene Stoffe;1863611;1726401
2006;Flüssige biogene Stoffe;38692;36419
2006;Biogas;11914;10831
2006;Biomethan (Bioerdgas);-;-
2006;Klärgas;25047;24227
2006;Deponiegas;191656;183550
2006;Sonstige erneuerbare Energien;394702;364128
2006;Klärschlamm;210540;191679
2006;Abfall (Hausmüll, Industrie);7267272;5523465
2006;Abfall (Industrie);-;-
2006;Abfall (Hausmüll, Siedlungsabfälle);-;-
2006;Kernenergie;167269153;158710790
2006;Wärme;-;-
2006;Strom (Elektrokessel);-;-
2006;Sonstige Energieträger;573247;541038
2006;Andere Speicher;-;-
2006;Insgesamt;540181439;504927984
2007;Steinkohlen;129095345;119131139
2007;Steinkohlenkoks;-;-
2007;Steinkohlenbriketts;-;-
2007;Kohlenwertstoffe aus Steinkohle;-;-
2007;Sonstige Steinkohlen;-;-
2007;Rohbraunkohlen;150681562;138564709
2007;Hartbraunkohlen;73464;60274
2007;Braunkohlenbriketts;56831;50551
2007;Braunkohlenkoks;2329;1716
2007;Wirbelschichtkohle;336465;281454
2007;Staub- und Trockenkohle;504190;447221
2007;Sonstige Braunkohlen;173838;164761
2007;Dieselkraftstoff;7791;6792
2007;Heizöl, leicht;540439;490084
2007;Heizöl, schwer;588657;544145
2007;Flüssiggas;-;-
2007;Raffineriegas;-;-
