year,Gas und Öl,Kohle,Kernenergie,Sonstiges,Wasserkraft,Photovoltaik,Windkraft,Biomasse,Geothermie
2002,47737.816,275954.642,164841.973,27.282,23124.0,162.0,16102.0,6048.0,0.0
2003,54071.81800000001,287275.101,165059.921,648.209,18322.0,313.0,19087.0,8948.0,0.0
2004,54458.646,281585.641,167064.61,541.723,20745.0,557.0,26019.0,10636.0,0.2
2005,62477.566999999995,273677.95700000005,163054.688,817.454,19638.0,1282.0,27774.0,14706.0,0.2
2006,64084.73500000001,273975.719,167269.153,926.3149999999999,20031.0,2220.0,31324.0,18934.0,0.4
2007,64904.102,280587.559,140534.043,863.347,21170.0,3075.0,40507.0,24616.0,0.4
2008,75292.905,262303.615,148495.245,896.299,20443.0,4420.0,41385.0,28014.0,18.0
2009,65138.597,242831.609,134932.034,778.4000000000001,19031.0,6583.0,39420.0,30886.0,19.0
2010,71391.4,250052.27000000002,140556.453,907.7249999999999,20953.0,11729.0,38547.0,33924.0,28.0
2011,66785.09300000001,250542.30100000004,107971.228,1129.749,17671.0,19599.0,49857.0,36891.0,19.0
2012,54152.278999999995,269127.876,99460.199,1228.961,21755.0,26380.0,51680.0,43203.0,25.0
2013,42329.232,277097.132,97290.037,472.28,22998.0,31010.0,52737.0,45513.0,80.0
2014,33257.689,269478.197,97129.277,591.779,19587.0,36056.0,58497.0,48287.0,98.0
2015,32274.577999999998,267182.92299999995,91786.311,599.843,18977.0,38726.0,80624.0,50326.0,133.0
2016,49049.387,254294.16,84634.367,598.199,20546.0,38098.0,79924.0,50928.0,175.0
2017,51805.494,233805.702,76324.401,584.9509999999999,20150.0,39401.0,105693.0,50917.0,163.0
2018,47410.01499999999,220777.595,76004.802,480.932,17693.0,45784.0,109951.0,50900.0,178.0
2019,55483.812,164614.236,75071.236,565.802,19731.0,46392.0,125894.0,50220.0,197.0
2020,59572.679000000004,128042.55,64382.397,536.607,18633.0,50600.0,130965.0,50599.0,217.0
