Kategorie (in GWh);1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Wasserkraft;17,426;14,891;17,397;17,878;19,930;21,780;21,957;17,357;17,216;19,647;21,732;22,733;23,124;18,322;20,745;19,638;20,031;21,170;20,443;19,031;20,953;17,671;21,755;22,998;19,587;18,977;20,546;20,150;17,693;19,731;18,633
Windenergie an Land;72;102;281;612;927;1,530;2,073;3,025;4,579;5,639;9,703;10,719;16,102;19,087;26,019;27,774;31,324;40,507;41,385;39,382;38,371;49,280;50,948;51,819;57,026;72,340;67,650;88,018;90,484;101,150;103,662
Windenergie auf See;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;176;577;732;918;1,471;8,284;12,274;17,675;19,467;24,744;27,303
Photovoltaik;1;1;4;3;7;7;12;18;35;30;60;76;162;313;557;1,282;2,220;3,075;4,420;6,583;11,729;19,599;26,380;31,010;36,056;38,726;38,098;39,401;45,784;46,392;50,600
biogene Festbrennstoffe;4;9;14;32;51;85;118;179;210;246;925;1,112;1,485;3,392;5,162;7,478;8,819;8,699;9,296;9,746;10,351;10,516;10,693;10,555;10,798;11,034;10,797;10,644;11,167;11,106;11,321
biogene flüssige Brennstoffe;0;0;0;0;0;0;0;0;0;0;0;15;20;52;136;116;719;948;1,088;1,632;1,278;382;246;288;334;426;489;437;452;397;384
Biogas;1;2;3;4;6;18;31;44;118;145;445;745;1,046;1,518;1,111;1,696;3,346;8,386;10,957;13,188;15,300;18,754;24,383;25,839;26,917;28,302;28,904;29,245;28,655;28,425;28,702
Biomethan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;44;78;372;576;1,080;1,625;2,398;3,011;3,010;2,837;2,602;2,620;2,585
Klärgas;29;25;20;24;27;34;41;48;633;727;705;735;777;955;986;1,096;1,057;1,033;1,094;1,131;1,203;1,280;1,314;1,308;1,336;1,389;1,440;1,460;1,555;1,581;1,593
Deponiegas;188;224;259;372;485;525;565;605;677;727;812;748;771;793;988;1,068;1,092;1,009;864;788;674;628;536;483;435;396;358;338;306;285;285
biogener Anteil des Abfalls;1,213;1,211;1,262;1,203;1,306;1,348;1,343;1,397;1,618;1,740;1,844;1,859;1,949;2,238;2,253;3,252;3,901;4,521;4,671;4,323;4,746;4,755;4,951;5,415;6,069;5,768;5,930;5,956;6,163;5,806;5,729
Geothermie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0.4;0.4;18;19;28;19;25;80;98;133;175;163;178;197;217
